27166,   65,  131
27268,   67,  126
27369,   70,  122
27470,   73,  118
27571,   68,  126
27672,   49,  161
27773,   53,  153
27874,   56,  145
27975,   60,  138
28076,   63,  132
28177,   66,  128
28278,   68,  124
28379,   71,  121
28480,   73,  117
28581,   49,  155
28682,   54,  150
28783,   57,  143
28884,   61,  136
28985,   64,  131
29087,   67,  126
29188,   69,  122
29289,   73,  118
29390,   74,  116
29492,   77,  113
29593,   69,  124
29694,   55,  147
29795,   59,  142
29897,   63,  135
29998,   66,  130
30099,   68,  126
30200,   71,  122
30301,   73,  118
30403,   75,  115
30504,   78,  113
30605,   80,  110
30707,   58,  116
30808,   61,  141
30909,   64,  138
31010,   67,  131
31112,   70,  126
31213,   72,  122
31314,   74,  121
31415,   76,  116
31517,   79,  114
31618,   80,  112
31719,   82,  108
31820,   83,  107
31921,   71,  102
32023,   61,  141
32124,   64,  136
32225,   67,  131
32327,   69,  126
32428,   72,  123
32529,   74,  119
32630,   75,  115
32731,   78,  114
32833,   79,  111
32934,   81,  108
33035,   82,  106
33137,   84,  103
33238,   85,   99
33339,   60,  132
33440,   63,  136
33542,   66,  131
33643,   69,  127
33744,   71,  123
33845,   73,  119
33947,   75,  116
34048,   78,  113
34149,   79,  112
34250,   81,  108
34352,   83,  102
34453,   84,  100
34554,   86,   96
34655,   87,   94
34757,   88,   90
34858,   89,   87
34959,   90,   83
35060,   91,   79
35162,   91,   76
35263,   92,   74
35364,   91,   73
35465,   90,   71
35567,   90,   69
35668,   89,   68
35769,   89,   68
35870,   87,   68
35972,   88,   66
36073,   87,   66
36174,   86,   65
36275,   85,   65
36377,   84,   65
36478,   84,   64
36579,   84,   64
36680,   84,   62
36782,   82,   64
36883,   82,   64
36984,   82,   63
37085,   81,   64
37187,   81,   63
37288,   80,   64
37389,   80,   64
37490,   81,   64
37592,   79,   64
37693,   79,   64
37794,   78,   65
37895,   78,   66
37997,   78,   65
38098,   78,   65
38199,   77,   67
38300,   78,   66
38402,   77,   66
38503,   77,   66
38604,   78,   67
38705,   77,   66
38807,   77,   65
38908,   77,   68
39009,   77,   65
